nl en
nl_van en_of
nl_van en_from
nl_het en_the
nl_het en_it
nl_een en_an
nl_een en_one
nl_voor en_for
nl_met en_with
nl_door en_by
nl_zijn en_his
nl_zijn en_are
nl_uit en_from
nl_uit en_out
nl_hij en_he
nl_dat en_that
nl_werd en_became
nl_als en_as
nl_als en_if
nl_aan en_to
nl_aan en_aan
nl_aan en_on
nl_was en_was
nl_was en_wax
nl_ook en_also
nl_ook en_too
nl_score en_score
nl_niet en_not
nl_tot en_until
nl_bij en_at
nl_naam en_name
nl_soort en_kind
nl_soort en_type
nl_soort en_species
nl_familie en_family
nl_eerst en_first
nl_deze en_this
nl_deze en_these
nl_naar en_to
nl_maar en_but
nl_gepubliceerd en_published
nl_wordt en_become
nl_wordt en_becomes
nl_geldig en_valid
nl_worden en_become
nl_worden en_becoming
nl_dit en_this
nl_over en_about
nl_over en_over
nl_heeft en_has
nl_dan en_then
nl_dan en_dan
nl_plaats en_place
nl_cest en_cest
nl_onder en_below
nl_onder en_under
nl_team en_squad
nl_team en_team
nl_nog en_still
nl_eerste en_first
nl_meer en_lake
nl_meer en_more
nl_andere en_other
nl_andere en_others
nl_kan en_could
nl_kan en_can
nl_kan en_kan
nl_cet en_cet
nl_geen en_none
nl_haar en_hair
nl_haar en_her
nl_wel en_well
nl_jaar en_years
nl_jaar en_year
nl_twee en_two
nl_twee en_twee
nl_inwoners en_inhabitants
nl_inwoners en_residents
nl_wat en_what
nl_wat en_wat
nl_deel en_part
nl_deel en_share
nl_werden en_became
nl_externe en_external
nl_overleg en_consultations
nl_overleg en_consultation
nl_tussen en_between
nl_had en_had
nl_zou en_would
nl_waar en_where
nl_waar en_true
nl_hebben en_have
nl_veel en_many
nl_veel en_much
nl_hun en_their
nl_hun en_hun
nl_staat en_state
nl_komt en_comes
nl_tegen en_against
nl_tweede en_second
nl_waren en_were
nl_kunnen en_can
nl_zie en_see
nl_tijdens en_during
nl_geslacht en_gender
nl_geslacht en_sex
nl_zoals en_as
nl_zoals en_like
nl_grote en_large
nl_grote en_big
nl_bar en_bar
nl_aantal en_number
nl_telt en_counts
nl_nieuwe en_new
nl_zij en_she
nl_zij en_they
nl_jaren en_years
nl_later en_later
nl_artikel en_article
