ja en
ja_から en_from
ja_として en_as
ja_日本 en_japan
ja_日本 en_nippon
ja_この en_this
ja_まで en_until
ja_まで en_till
ja_また en_also
ja_昭和 en_showa
ja_もの en_things
ja_大学 en_universities
ja_大学 en_university
ja_大学 en_college
ja_大学 en_colleges
ja_テレビ en_tv
ja_テレビ en_televisions
ja_テレビ en_television
ja_放送 en_broadcast
ja_放送 en_broadcasting
ja_東京 en_tokyo
ja_より en_than
ja_削除 en_deleted
ja_削除 en_deleting
ja_削除 en_deletion
ja_削除 en_remove
ja_削除 en_delete
ja_現在 en_current
ja_現在 en_currently
ja_現在 en_present
ja_平成 en_heisei
ja_学校 en_schools
ja_学校 en_school
ja_これ en_this
ja_世界 en_world
ja_アメリカ en_america
ja_でも en_but
ja_について en_about
ja_作品 en_works
ja_作品 en_discography
ja_時代 en_era
ja_映画 en_movie
ja_映画 en_cinema
ja_映画 en_film
ja_映画 en_movies
ja_監督 en_director
ja_監督 en_supervision
ja_鉄道 en_railroads
ja_鉄道 en_railroad
ja_鉄道 en_railways
ja_鉄道 en_railway
ja_使用 en_use
ja_出演 en_appearances
ja_出演 en_appearance
ja_出演 en_cast
ja_明治 en_meiji
ja_時間 en_hours
ja_時間 en_hour
ja_時間 en_time
ja_開始 en_begin
ja_開始 en_start
ja_開始 en_initiation
ja_シリーズ en_series
ja_のみ en_only
ja_記事 en_article
ja_記事 en_story
ja_記事 en_stories
ja_記事 en_articles
ja_活動 en_activities
ja_選手 en_players
ja_選手 en_athletes
ja_しかし en_but
ja_研究 en_studies
ja_研究 en_research
ja_会話 en_conversation
ja_会話 en_conversations
ja_大阪 en_osaka
ja_大会 en_convention
ja_チーム en_teams
ja_チーム en_team
ja_存在 en_existence
ja_優勝 en_winning
ja_作詞 en_lyrics
ja_所属 en_affiliation
ja_所属 en_belong
ja_国際 en_international
ja_一部 en_some
ja_一部 en_partially
ja_結果 en_result
ja_結果 en_results
ja_アルバム en_album
ja_アルバム en_albums
ja_バス en_bus
ja_バス en_bass
ja_バス en_buses
ja_ゲーム en_gaming
ja_ゲーム en_game
ja_ゲーム en_games
ja_問題 en_issue
ja_問題 en_problem
ja_問題 en_problems
ja_問題 en_issues
ja_リーグ en_league
ja_リーグ en_leagues
ja_利用 en_redeem
ja_開発 en_development
ja_事業 en_business
ja_決定 en_decision
ja_決定 en_decisions
ja_音楽 en_music
ja_転送 en_forward
ja_転送 en_transfer
ja_転送 en_transmit
ja_転送 en_transfers
ja_情報 en_info
ja_情報 en_information
ja_公式 en_formula
ja_公式 en_official
ja_参加 en_join
ja_参加 en_participation
ja_地域 en_regions
ja_地域 en_region
ja_変更 en_changes
ja_変更 en_modify
ja_変更 en_change
ja_編曲 en_arranger
ja_編曲 en_arranged
ja_編曲 en_arrangement
ja_サイト en_site
ja_サイト en_sites
ja_丁目 en_chome
ja_記録 en_recording
ja_記録 en_record
ja_関係 en_relation
ja_関係 en_relations
ja_クラブ en_club
ja_クラブ en_clubs
ja_中央 en_chūō
ja_中央 en_central
ja_中央 en_center
ja_中央 en_centre
ja_同じ en_same
ja_設立 en_established
ja_設立 en_incorporation
ja_設立 en_establishment
ja_考え en_thinking
ja_考え en_thoughts
ja_教育 en_education
ja_プロ en_pro
ja_設置 en_installation
ja_発表 en_announcement
ja_発表 en_announcements
ja_小学校 en_elementary
ja_編集 en_edit
ja_編集 en_edits
ja_編集 en_editing
ja_編集 en_modify
ja_シーズン en_season
ja_シーズン en_seasons
ja_ファイル en_files
ja_ファイル en_file
ja_フランス en_france
ja_都市 en_city
ja_都市 en_cities
ja_出版 en_publisher
ja_出版 en_publishing
ja_出版 en_publication
ja_会社 en_firm
ja_会社 en_company
ja_会社 en_companies
ja_世紀 en_centuries
ja_世紀 en_century
ja_ノート en_note
ja_ノート en_notebooks
ja_ノート en_notes
ja_ノート en_notebook
ja_京都 en_kyoto
ja_社会 en_society
ja_社会 en_societies
ja_ドイツ en_germany
ja_開催 en_held
ja_シングル en_single
ja_センター en_center
ja_センター en_centre
ja_終了 en_quit
ja_終了 en_finish
ja_終了 en_end
ja_終了 en_finished
ja_終了 en_exit
ja_中心 en_center
ja_中心 en_centre
ja_内容 en_content
ja_内容 en_contents
ja_文化 en_culture
ja_イギリス en_england
ja_イギリス en_uk
ja_ドラマ en_drama
ja_ドラマ en_dramas
ja_さらに en_further
ja_中国 en_china
ja_撮影 en_cinematography
ja_撮影 en_photography
ja_撮影 en_filming
ja_選手権 en_championships
ja_選手権 en_championship
ja_野球 en_baseball
ja_指定 en_designation
ja_指定 en_specify
